Hotel,Location,Room_Type,Price_Per_Night,Currency,Date_Scraped
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",Standard King Room • 1 king bed,150,EUR,2025-12-11 13:20:08
The Chancery Hotel,"Dublin City Centre, Dublin",Standard King Room • 1 queen bed,229,EUR,2025-12-11 13:20:08
Beckett Locke,"Dublin City Centre, Dublin",One-Bedroom Apartment • 1 bedroom • 1 living room • 1 queen bed,200,EUR,2025-12-11 13:20:08
The Grafton Hotel,"Saint Stephen's Green, Dublin",Standard Double Room • 1 full bed,303,EUR,2025-12-11 13:20:08
Harcourt Hotel,"Saint Stephen's Green, Dublin",Double Room (Maximum Occupancy: 2 People) • 1 full bed,177,EUR,2025-12-11 13:20:08
Mespil Hotel,"Ballsbridge, Dublin",Superior Twin Room • 2 twin beds,195,EUR,2025-12-11 13:20:08
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",Classic Double Room • 1 full bed,356,EUR,2025-12-11 13:20:08
The Dean Dublin,"Saint Stephen's Green, Dublin",The Large • 1 king bed,229,EUR,2025-12-11 13:20:08
Clontarf Castle Hotel,"Clontarf, Dublin",Standard Twin Room • 2 twin beds,185,EUR,2025-12-11 13:20:08
The Trinity City Hotel,"Dublin City Centre, Dublin",Double Room • 1 full bed,225,EUR,2025-12-11 13:20:08
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",Standard King Room • 1 king bed,143,EUR,2025-12-11 13:20:09
The Chancery Hotel,"Dublin City Centre, Dublin",Standard King Room • 1 queen bed,234,EUR,2025-12-11 13:20:09
Beckett Locke,"Dublin City Centre, Dublin",One-Bedroom Apartment • 1 bedroom • 1 living room • 1 queen bed,190,EUR,2025-12-11 13:20:09
The Grafton Hotel,"Saint Stephen's Green, Dublin",Standard Double Room • 1 full bed,309,EUR,2025-12-11 13:20:09
Harcourt Hotel,"Saint Stephen's Green, Dublin",Double Room (Maximum Occupancy: 2 People) • 1 full bed,169,EUR,2025-12-11 13:20:09
Mespil Hotel,"Ballsbridge, Dublin",Superior Twin Room • 2 twin beds,199,EUR,2025-12-11 13:20:09
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",Classic Double Room • 1 full bed,339,EUR,2025-12-11 13:20:09
The Dean Dublin,"Saint Stephen's Green, Dublin",The Large • 1 king bed,234,EUR,2025-12-11 13:20:09
Clontarf Castle Hotel,"Clontarf, Dublin",Standard Twin Room • 2 twin beds,189,EUR,2025-12-11 13:20:09
The Trinity City Hotel,"Dublin City Centre, Dublin",Double Room • 1 full bed,214,EUR,2025-12-11 13:20:09
